,Passenger Revenue,Cargo Revenue,Other Revenue,Fuel,Maintenance,Commission,Ground Handling,Salaries and Wages,Aircraft Lease,Overheads,Non-Operating
January,2564.055986,571.7623208,483.7241689,-549.7748586,-445.8686466,-74.3114411,-594.4915288,-840.9983542,-194.7082498,-371.5572055,124.154104
February,2256.473533,503.1740925,425.6969388,-483.8242317,-392.3825398,-65.39708997,-523.1767198,-740.1127501,-171.3511775,-326.9854499,109.2606601
March,2526.694276,563.4309824,476.6756635,-541.7639067,-439.3717466,-73.22862443,-585.8289955,-828.7438882,-191.8710913,-366.1431222,122.3450133
April,2200.865406,490.7739609,415.2061402,-471.9009545,-382.7127353,-63.78545588,-510.283647,-721.873545,-167.1284299,-318.9272794,106.5680601
May,2339.885724,521.7742902,441.4331369,-501.7091476,-406.8872468,-67.81454114,-542.5163291,-767.4715582,-177.6852988,-339.0727057,113.2995601
June,2492.808073,555.8746521,470.2828331,-534.4981597,-433.4792094,-72.2465349,-577.9722792,-817.6293724,-189.2978545,-361.2326745,120.7042102
July,2431.986684,542.312008,458.808522,-521.4570752,-422.9028606,-70.48381009,-563.8704808,-797.6802416,-184.6792244,-352.4190505,117.7591789
August,2519.74326,561.8809659,475.3643137,-540.2734971,-438.163021,-73.02717017,-584.2173614,-826.4639875,-191.3432478,-365.1358509,122.0084383
September,2418.95353,539.4057273,456.3497412,-518.6625573,-420.6365002,-70.10608337,-560.848667,-793.4054281,-183.689518,-350.5304169,117.1281008
October,2609.237589,581.8374278,492.2479428,-559.4625213,-453.7253628,-75.6208938,-604.9671504,-855.8177084,-198.1392322,-378.104469,126.3418415
November,2380.722942,530.8806369,449.1373172,-510.4653043,-413.9885096,-68.99808493,-551.9846795,-780.8659746,-180.786379,-344.9904247,115.2769383
December,2295.572998,511.8929352,433.0732817,-492.2077861,-399.1816213,-66.53027021,-532.2421617,-752.9371915,-174.3202969,-332.6513511,111.1538945
