,Block Hours,Flight Hours,Departures,RPMs,ASMs,Gallons
January,307.16,262.59,98.41,17.61,21.14,318.8
February,270.31,231.09,86.61,15.5,18.6,280.55
March,302.69,258.76,96.98,17.36,20.83,314.15
April,263.65,225.39,84.47,15.12,18.14,273.64
May,280.31,239.63,89.81,16.07,19.29,290.92
June,298.63,255.29,95.68,17.12,20.55,309.94
July,291.34,249.06,93.34,16.71,20.05,302.37
August,301.85,258.05,96.71,17.31,20.77,313.29
September,289.78,247.73,92.84,16.62,19.94,300.75
October,312.57,267.21,100.15,17.92,21.51,324.41
November,285.2,243.81,91.38,16.35,19.63,296
December,275,235.09,88.11,15.77,18.92,285.41
