,Passenger Revenue,Cargo Revenue,Other Revenue,Fuel,Maintenance,Commission,Ground Handling,Salaries and Wages,Aircraft Lease,Overheads,Non-Operating
January,1655.064275,257.3151201,282.3931895,-769.7377839,-188.0325384,-31.3387564,-250.7100512,-609.0262126,-179.7850325,-156.693782,-175.1049702
February,1456.523863,226.4477692,248.51749,-677.4005505,-165.4762799,-27.57937999,-220.6350399,-535.9678326,-158.2181394,-137.8969,-154.0994943
March,1630.947784,253.5656961,278.2783446,-758.5216793,-185.2926539,-30.88210898,-247.0568718,-600.1518896,-177.1653251,-154.4105449,-172.5534576
April,1420.629552,220.8672312,242.3930698,-660.7068135,-161.3983123,-26.89971872,-215.1977498,-522.759538,-154.3190401,-134.4985936,-150.3018941
May,1510.365331,234.8185763,257.7041205,-702.4411563,-171.5932314,-28.5988719,-228.7909752,-555.7802748,-164.0667884,-142.9943595,-159.7958946
June,1609.074688,250.1650558,274.546276,-748.3489332,-182.8076423,-30.46794039,-243.7435231,-592.103085,-174.7893115,-152.339702,-170.239295
July,1569.815284,244.0613423,267.8476914,-730.0901582,-178.3473652,-29.72456087,-237.796487,-577.6565127,-170.5246716,-148.6228044,-166.0856698
August,1626.460995,252.8681289,277.5127921,-756.4349621,-184.7829079,-30.79715132,-246.3772106,-598.5008528,-176.6779377,-153.9857566,-172.0787576
September,1561.402556,242.7534038,266.4122805,-726.1775638,-177.3915916,-29.56526527,-236.5221222,-574.5608188,-169.6108202,-147.8263264,-165.1956073
October,1684.228403,261.8493073,287.3692809,-783.3014452,-191.3458871,-31.89098118,-255.1278494,-619.757952,-182.9530506,-159.4549059,-178.1905204
November,1536.725216,238.9167839,262.2017416,-714.7006195,-174.5879889,-29.09799815,-232.7839852,-565.4801162,-166.9301894,-145.4899908,-162.5847572
December,1481.762052,230.3715851,252.8237231,-689.1383346,-168.343601,-28.05726683,-224.4581346,-545.2549149,-160.9596936,-140.2863341,-156.7696819
