,Block Hours,Flight Hours,Departures,RPMs,ASMs,Gallons
January,188.72,165.04,58.69,11.16,13.48,215.02
February,166.09,145.24,51.65,9.82,11.86,189.23
March,185.97,162.63,57.84,11,13.28,211.89
April,161.99,141.66,50.38,9.58,11.57,184.57
May,172.22,150.61,53.56,10.19,12.3,196.22
June,183.48,160.45,57.06,10.85,13.1,209.05
July,179,156.54,55.67,10.59,12.78,203.95
August,185.46,162.18,57.68,10.97,13.24,211.31
September,178.04,155.7,55.37,10.53,12.71,202.86
October,192.05,167.94,59.73,11.36,13.71,218.81
November,175.23,153.24,54.5,10.36,12.51,199.65
December,168.96,147.76,52.55,9.99,12.07,192.51
