,Passenger Revenue,Cargo Revenue,Other Revenue,Fuel,Maintenance,Commission,Ground Handling,Salaries and Wages,Aircraft Lease,Overheads,Non-Operating
January,2464.450928,588.9816077,494.5856049,-447.7849674,-436.6245303,-72.76896597,-582.1624623,-961.6206458,-216.6074788,-363.8555643,-230.2944577
February,2168.81576,518.3274614,435.2551891,-394.0687492,-384.2471164,-64.03961161,-512.3263397,-846.2647758,-190.6232778,-320.2075048,-202.6683687
March,2428.543052,580.3999483,487.3793269,-441.2605904,-430.2627646,-71.70869776,-573.6801601,-947.6095108,-213.4514353,-358.5540669,-226.9389903
April,2115.366212,505.5535001,424.5285089,-384.3570913,-374.7775086,-62.46138244,-499.7002735,-825.408938,-185.9254476,-312.3161262,-197.6736924
May,2248.985552,537.4873206,451.3443003,-408.6354127,-398.4507256,-66.4068216,-531.2643688,-877.5467649,-197.6696248,-332.043904,-210.1599598
June,2395.969544,572.6151728,480.8422163,-435.3420602,-424.4917458,-70.74688493,-565.9855156,-934.899435,-210.5884586,-353.7448608,-223.895108
July,2337.509384,558.6437203,469.1099666,-424.7199859,-414.1344124,-69.02070514,-552.1758226,-912.0884729,-205.4502318,-345.1137072,-218.4322073
August,2421.856196,578.8018498,486.0373554,-440.0456042,-429.0780603,-71.5112519,-572.1005641,-945.0003214,-212.8637088,-357.5668084,-226.3141266
September,2324.987384,555.651075,466.5969522,-422.4447678,-411.9159011,-68.65096235,-549.2178258,-907.2024298,-204.3496382,-343.2649387,-217.2620695
October,2507.879252,599.3605866,503.3011462,-455.6757923,-444.318687,-74.0512939,-592.4212748,-978.566235,-220.4245156,-370.2673931,-234.3526851
November,2288.236856,546.8680293,459.221564,-415.7672828,-405.4048434,-67.56581274,-540.5364689,-892.8624946,-201.1195316,-337.8390306,-213.8278591
December,2206.39988,527.3097281,442.7978692,-400.8976959,-390.9058609,-65.14937507,-521.204611,-860.9299759,-193.9266511,-325.7564858,-206.1804754
