,Block Hours,Flight Hours,Departures,RPMs,ASMs,Gallons
January,305.96,260,97.3,17.57,21.35,316.11
February,269.26,228.81,85.62,15.47,18.79,278.19
March,301.51,256.21,95.88,17.32,21.03,311.5
April,262.63,223.17,83.51,15.08,18.32,271.33
May,279.21,237.27,88.79,16.04,19.48,288.47
June,297.46,252.78,94.59,17.09,20.75,307.33
July,290.2,246.61,92.28,16.67,20.25,299.83
August,300.68,255.51,95.61,17.27,20.98,310.65
September,288.65,245.29,91.79,16.58,20.14,298.22
October,311.36,264.58,99.01,17.88,21.72,321.68
November,284.09,241.41,90.34,16.32,19.82,293.51
December,273.93,232.78,87.11,15.73,19.11,283.01
